pollster,type,mean,low,high
ABC,posterior,-0.03274955310660618,-0.08027464648693211,0.014775540273719738
ABC,prior,-6.361788516914103e-5,-0.03979210189015487,0.03966486611981659
Albuquerque Journal,posterior,0.0022960225292492954,-0.06518116667529418,0.06977321173379276
Albuquerque Journal,prior,-3.6366995108106124e-4,-0.03886552083193035,0.038138180929768235
Allstate,posterior,0.02122672846426367,-0.05420038854233851,0.09665384547086585
Allstate,prior,1.4015026761036864e-4,-0.038457332599153446,0.038737633134374186
American Research Group,posterior,-0.030673027195725747,-0.06563008536995442,0.004284030978502926
American Research Group,prior,-0.0014419505900978753,-0.040224896732921386,0.03734099555272563
Angus Reid,posterior,0.01787738274970278,-0.0471205920013202,0.08287535750072576
Angus Reid,prior,8.926186726334884e-4,-0.03776591840708938,0.039551155752356355
Angus Reid Public Opinion,posterior,-0.057106698989143057,-0.11057964071393023,-0.0036337572643558927
Angus Reid Public Opinion,prior,4.6440821238939473e-4,-0.039710791467504544,0.04063960789228334
Angus Reid Public Opinion[permanent dead link],posterior,-0.007098885578523709,-0.06668210921814517,0.05248433806109775
Angus Reid Public Opinion[permanent dead link],prior,2.8153265207972114e-4,-0.0395676265206855,0.04013069182484495
Arizona St,posterior,0.014851430564997173,-0.07239505402138073,0.10209791515137508
Arizona St,prior,-2.4328456489104035e-4,-0.04185485887019975,0.04136828974041767
Associated Press,posterior,0.09954273975816193,0.04052039253086749,0.15856508698545635
Associated Press,prior,-6.493715222395446e-4,-0.03897425447692455,0.037675511432445456
Atlanta Journal,posterior,0.01605644376652582,-0.058144439622261,0.09025732715531264
Atlanta Journal,prior,-0.0012199791679020934,-0.04129654310478001,0.03885658476897583
Baltimore Sun,posterior,0.00762135153667216,-0.0750968465016557,0.09033954957500002
Baltimore Sun,prior,3.378669968512087e-4,-0.039502687640361675,0.0401784216340641
Behavior Research Center,posterior,0.07097444472759958,-0.006712000975175561,0.14866089043037473
Behavior Research Center,prior,5.046048719582962e-8,-0.038331467389385684,0.03833156831036008
Bloomberg,posterior,0.009257332225362423,-0.07773413823120956,0.09624880268193442
Bloomberg,prior,-3.120755403172369e-5,-0.03896196297847618,0.038899547870412735
Boston Globe,posterior,-0.003239035190387198,-0.07443485161344036,0.06795678123266598
Boston Globe,prior,-9.289744327662228e-4,-0.03913127222462777,0.03727332335909532
Brown University,posterior,0.014121448093296372,-0.07583742579392566,0.10408032198051839
Brown University,prior,-3.553043575273693e-4,-0.040062568567833634,0.039351959852778895
Cadell,posterior,-0.035856775076556324,-0.10921556199504563,0.03750201184193298
Cadell,prior,-4.3187395257568374e-4,-0.0402984580093618,0.03943471010421043
Capital Survey Research Center,posterior,0.03057008189473236,-0.05432656447197301,0.11546672826143772
Capital Survey Research Center,prior,6.920693288728994e-4,-0.038523115929165574,0.03990725458691137
