state,obama,mccain,obama_count,mccain_count,total_count,vap,state_name,ev,adult_pop_growth_2011_15
AL,0.39,0.60,813479.00,1266546.00,2099819.00,3595708.00,Alabama,9,0.021734156
AK,0.38,0.59,123594.00,193841.00,326197.00,507645.00,Alaska,3,0.033482632
AZ,0.45,0.54,1034707.00,1230111.00,2293475.00,4673718.00,Arizona,11,0.071607165
AR,0.39,0.59,422310.00,638017.00,1086617.00,2174846.00,Arkansas,6,0.020381099
CA,0.61,0.37,8274473.00,5011781.00,13561900.00,27411094.00,California,55,0.056435939
CO,0.54,0.45,1288633.00,1073629.00,2401462.00,3708955.00,Colorado,9,0.080479676
CT,0.61,0.38,997772.00,629428.00,1646797.00,2725917.00,Connecticut,7,0.017797973
DC,0.62,0.37,255459.00,152374.00,412412.00,680493.00,District of Columbia,3,0.080870047
DE,0.92,0.07,245800.00,17367.00,265853.00,481971.00,Delaware,3,0.05563393
FL,0.51,0.48,4282074.00,4045624.00,8390744.00,14558436.00,Florida,29,0.07322737
GA,0.47,0.52,1844123.00,2048759.00,3924486.00,7063638.00,Georgia,16,0.052603069
HI,0.72,0.27,325871.00,120566.00,453568.00,1036088.00,Hawaii,4,0.047246979
ID,0.36,0.62,236440.00,403012.00,655122.00,1117842.00,Idaho,4,0.056379763
IL,0.62,0.37,3419348.00,2031179.00,5522371.00,9615700.00,Illinois,20,0.013323942
IN,0.50,0.49,1374039.00,1345648.00,2751054.00,4826231.00,Indiana,11,0.024577589
IA,0.54,0.44,828940.00,682379.00,1537123.00,2298515.00,Iowa,6,0.024450595
KS,0.42,0.57,514765.00,699655.00,1235872.00,2100084.00,Kansas,6,0.020848352
KY,0.41,0.57,751985.00,1048462.00,1826620.00,3277617.00,Kentucky,8,0.019419418
LA,0.40,0.59,782989.00,1148275.00,1960761.00,3342279.00,Louisiana,8,0.028718929
ME,0.58,0.40,421923.00,295273.00,731163.00,1049816.00,Maine,4,0.013199618
MD,0.62,0.36,1629467.00,959862.00,2631596.00,4342850.00,Maryland,10,0.039387467
MA,0.62,0.36,1904097.00,1108854.00,3080985.00,5058035.00,Massachusetts,11,0.043379274
MI,0.57,0.41,2872579.00,2048639.00,5001766.00,7528460.00,Michigan,16,0.017795558
MN,0.54,0.44,1573354.00,1275409.00,2910369.00,3975974.00,Minnesota,10,0.03389738
MS,0.43,0.56,554662.00,724597.00,1289865.00,2190402.00,Mississippi,6,0.016699929
MO,0.49,0.49,1441911.00,1445814.00,2925205.00,4507688.00,Missouri,10,0.020360473
MT,0.47,0.50,231667.00,242763.00,490302.00,755384.00,Montana,3,0.039549137
NE,0.42,0.57,333319.00,452979.00,801281.00,1348048.00,Nebraska,5,0.031301715
NV,0.55,0.43,533736.00,412827.00,967848.00,2000277.00,Nevada,6,0.078723137
NH,0.54,0.45,384826.00,316534.00,710970.00,1021787.00,New Hampshire,4,0.027354774
NJ,0.57,0.42,2215422.00,1613207.00,3868237.00,6651284.00,New Jersey,14,0.026680111
NM,0.57,0.42,472422.00,346832.00,830158.00,1505830.00,New Mexico,5,0.016250268
NY,0.63,0.36,4804945.00,2752771.00,7640931.00,14876971.00,New York,29,0.026732983
NC,0.50,0.49,2142651.00,2128474.00,4310789.00,7096503.00,North Carolina,15,0.052033653
ND,0.45,0.53,141278.00,168601.00,316621.00,512768.00,North Dakota,3,0.094270388
OH,0.52,0.47,2940044.00,2677820.00,5708350.00,8757453.00,Ohio,18,0.015034921
OK,0.34,0.66,502496.00,960165.00,1462661.00,2770219.00,Oklahoma,7,0.033154616
OR,0.57,0.40,1037291.00,738475.00,1827864.00,2916246.00,Oregon,7,0.05253463
PA,0.54,0.44,3276363.00,2655885.00,6013272.00,9813664.00,Pennsylvania,20,0.01307409
RI,0.63,0.35,296571.00,165391.00,471766.00,825786.00,Rhode Island,4,0.016216099
SC,0.45,0.54,862449.00,1034896.00,1920969.00,3473488.00,South Carolina,9,0.057210779
SD,0.45,0.53,170924.00,203054.00,381975.00,602539.00,South Dakota,3,0.042225644
TN,0.42,0.57,1087437.00,1479178.00,2599749.00,4771926.00,Tennessee,11,0.038986467
TX,0.44,0.55,3528633.00,4479328.00,8077795.00,17756112.00,Texas,38,0.082473266
UT,0.34,0.63,327670.00,596030.00,952370.00,1840087.00,Utah,6,0.075640981
VT,0.67,0.30,219262.00,98974.00,325046.00,492610.00,Vermont,3,0.011402581
VA,0.53,0.46,1959532.00,1725005.00,3723260.00,6022123.00,Virginia,13,0.04317003
WA,0.58,0.40,1750848.00,1229216.00,3036878.00,5032960.00,Washington,12,0.059110402
WV,0.43,0.56,303857.00,397466.00,713451.00,1453045.00,West Virginia,5,-0.004105891
WI,0.56,0.42,1677211.00,1262393.00,2983417.00,4306876.00,Wisconsin,10,0.02078458
WY,0.33,0.65,82868.00,164958.00,254658.00,418040.00,Wyoming,3,0.032295295
