"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","mcmullin"
"1","--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",940,"Likely Voters","Internet",41,45,2,8,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,NA,NA
"2","--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",NA,"Likely Voters - Democrat","Internet",6,89,0,4,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,NA,NA
"3","--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",NA,"Likely Voters - Republican","Internet",82,7,2,6,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,NA,NA
"4","--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",NA,"Likely Voters - independent","Internet",38,43,4,7,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,NA,NA
"5","--","IBD/TIPP","2016-11-04","2016-11-07","2016-11-08T12:10:06Z",1107,"Likely Voters","Live Phone",43,41,4,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,NA,NA
"6","--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",3669,"Likely Voters","Internet",41,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,NA,NA
"7","--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",1392,"Likely Voters - Democrat","Internet",6,90,2,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,NA,NA
"8","--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",1110,"Likely Voters - Republican","Internet",84,4,4,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,NA,NA
"9","--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",1167,"Likely Voters - independent","Internet",44,31,9,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,NA,NA
"10","--","Lucid/The Times-Picayune","2016-11-04","2016-11-06","2016-11-07T15:43:26Z",931,"Likely Voters","Internet",40,45,2,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,NA
