state,pollster,number.of.observations,start.date,end.date,obama,romney,other,undecided,mode,population
NY,SurveyUSA,518,2/27/12,3/1/12,60,30,10,0,Live Phone,Registered Voters
VT,Castleton Polling Institute,800,2/27/12,3/1/12,59,33,8,0,Live Phone,Registered Voters
NJ,SurveyUSA,533,2/27/12,3/1/12,52,38,10,0,Live Phone,Registered Voters
PA,Morning Call/Muhlenberg,625,2/27/12,3/1/12,48,37,15,0,Live Phone,Registered Voters
GA,SurveyUSA,1156,2/27/12,3/1/12,42,49,9,0,Live Phone,Registered Voters
VA,Roanoke College,607,2/28/12,3/2/12,42,43,15,0,Live Phone,Registered Voters
NJ,Quinnipiac,1396,2/29/12,3/3/12,49,39,12,0,Live Phone,Registered Voters
WI,Rasmussen,500,2/29/12,3/3/12,47,42,11,0,Live Phone,Registered Voters
WI,Public Policy,900,3/1/12,3/4/12,53,39,8,0,Live Phone,Registered Voters
VA,NBC/Marist,1273,3/4/12,3/7/12,52,35,13,0,Live Phone,Registered Voters
OH,NBC/Marist,1573,3/4/12,3/7/12,50,38,12,0,Live Phone,Registered Voters
MA,Western New England Univ.,527,3/5/12,3/8/12,60,36,4,0,Live Phone,Registered Voters
MA,Rasmussen,500,3/5/12,3/8/12,55,38,7,0,Live Phone,Registered Voters
NE,Rasmussen,500,3/7/12,3/10/12,35,52,13,0,Live Phone,Likely Voters
ME,Public Policy,1256,3/8/12,3/11/12,58,35,7,0,Live Phone,Registered Voters
PA,Public Policy,689,3/13/12,3/16/12,49,42,9,0,Live Phone,Registered Voters
NJ,Fairleigh Dickinson U.,800,3/14/12,3/17/12,50,37,13,0,Live Phone,Registered Voters
NC,Public Policy,804,3/14/12,3/17/12,49,46,5,0,Live Phone,Registered Voters
PA,Quinnipiac,1256,3/14/12,3/17/12,46,40,14,0,Live Phone,Registered Voters
FL,Rasmussen,500,3/15/12,3/18/12,46,43,11,0,Live Phone,Likely Voters
AZ,Rasmussen,500,3/15/12,3/18/12,40,51,9,0,Live Phone,Likely Voters
MO,Rasmussen,500,3/19/12,3/22/12,41,50,9,0,Live Phone,Likely Voters
VA,Quinnipiac,1034,3/20/12,3/23/12,50,42,8,0,Live Phone,Registered Voters
MA,Public Policy,936,3/21/12,3/24/12,58,35,7,0,Live Phone,Registered Voters
NV,Rasmussen,500,3/21/12,3/24/12,50,44,6,0,Live Phone,Likely Voters
NH,American Research Group,557,3/21/12,3/24/12,48,41,11,0,Live Phone,Registered Voters
CT,Quinnipiac,1622,3/22/12,3/25/12,53,37,10,0,Live Phone,Registered Voters
VA,Rasmussen,500,3/22/12,3/25/12,51,42,7,0,Live Phone,Likely Voters
OR,SurveyUSA,1615,3/22/12,3/25/12,50,39,11,0,Live Phone,Registered Voters
CA,USC/Los Angeles Times,1500,3/25/12,3/28/12,57,36,7,0,Live Phone,Registered Voters
WI,Marquette Univ. Law School,707,3/27/12,3/30/12,48,43,9,0,Live Phone,Registered Voters
AR,Talk Business / Hendrix College,759,3/27/12,3/30/12,33,57,10,0,Live Phone,Likely Voters
FL,Quinnipiac,1228,3/28/12,3/31/12,49,42,9,0,Live Phone,Registered Voters
OH,Quinnipiac,1246,3/28/12,3/31/12,47,41,12,0,Live Phone,Registered Voters
PA,Quinnipiac,1232,3/28/12,3/31/12,45,42,13,0,Live Phone,Registered Voters
NE,Public Policy,1028,3/28/12,3/31/12,39,51,10,0,Live Phone,Likely Voters
WI,Rasmussen,500,3/29/12,4/1/12,52,41,7,0,Live Phone,Likely Voters
OH,Rasmussen,500,3/29/12,4/1/12,48,40,12,0,Live Phone,Likely Voters
WI,NBC/Marist,2792,3/30/12,4/2/12,52,35,13,0,Live Phone,Registered Voters
CA,SurveyUSA,1995,4/3/12,4/6/12,62,31,7,0,Live Phone,Registered Voters
NV,Public Policy,553,4/4/12,4/7/12,51,43,6,0,Live Phone,Registered Voters
